iter	Passed	Remaining
0	1	100
1	1	88
2	2	83
3	3	78
4	4	78
5	4	76
6	5	75
7	6	74
8	7	72
9	7	71
10	8	70
11	9	69
12	10	68
13	11	67
14	11	66
15	12	65
16	13	64
17	14	63
18	14	62
19	15	62
20	16	61
21	16	60
22	17	59
23	18	58
24	19	58
25	20	57
26	21	56
27	21	55
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	26	51
34	27	50
35	27	49
36	28	48
37	29	47
38	30	47
39	30	46
40	31	45
41	31	44
42	33	43
43	34	43
44	34	42
45	35	41
46	36	40
47	37	40
48	37	39
49	38	38
50	39	37
51	40	37
52	41	36
53	41	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	46	30
60	47	30
61	48	29
62	49	29
63	50	28
64	51	27
65	51	26
66	52	25
67	53	25
68	54	24
69	55	23
70	55	22
71	56	21
72	57	21
73	58	20
74	58	19
75	59	18
76	60	18
77	61	17
78	62	16
79	63	15
80	64	15
81	64	14
82	65	13
83	66	12
84	67	11
85	67	11
86	68	10
87	69	9
88	70	8
89	70	7
90	71	7
91	72	6
92	73	5
93	74	4
94	74	3
95	75	3
96	76	2
97	77	1
98	77	0
99	78	0
