iter	Passed	Remaining
0	173	173721
1	175	87397
2	188	62682
3	189	47253
4	190	37932
5	192	31919
6	196	27816
7	197	24448
8	198	21813
9	198	19692
10	204	18395
11	209	17261
12	213	16207
13	214	15106
14	223	14672
15	224	13812
16	225	13040
17	226	12351
18	227	11734
19	228	11177
20	233	10864
21	237	10555
22	239	10186
23	240	9790
24	241	9423
25	242	9081
26	243	8767
27	244	8471
28	244	8196
29	245	7939
30	246	7701
31	248	7522
32	251	7376
33	252	7174
34	253	6983
35	254	6802
36	254	6631
37	255	6470
38	256	6323
39	257	6177
40	258	6038
41	258	5907
42	259	5781
43	260	5666
44	264	5607
45	265	5511
46	266	5404
47	267	5301
48	268	5204
49	268	5110
50	269	5019
51	270	4931
52	271	4846
53	271	4764
54	272	4686
55	273	4610
56	274	4539
57	276	4493
58	280	4469
59	281	4405
60	281	4340
61	283	4281
62	284	4225
63	285	4169
64	285	4112
65	286	4056
66	287	4002
67	288	3949
68	288	3898
69	291	3867
70	294	3855
71	295	3811
72	296	3769
73	319	3996
74	320	3952
75	323	3930
76	325	3895
77	363	4293
78	364	4254
79	366	4211
80	367	4167
81	368	4123
82	368	4074
83	369	4033
84	372	4005
85	376	3996
86	377	3961
87	378	3922
88	379	3882
89	380	3844
90	381	3807
91	382	3773
92	383	3737
93	384	3701
94	386	3678
95	390	3672
96	391	3646
97	392	3613
98	393	3580
99	394	3549
100	395	3517
101	396	3486
102	396	3456
103	397	3426
104	398	3397
105	399	3369
106	405	3387
107	408	3376
108	410	3354
109	412	3339
110	414	3316
111	415	3294
112	421	3311
113	423	3289
114	424	3264
115	425	3239
116	426	3215
117	427	3191
118	427	3168
119	428	3144
120	429	3121
121	430	3097
122	452	3228
123	453	3207
124	455	3185
125	456	3164
126	457	3142
127	458	3120
128	459	3099
129	459	3077
130	494	3277
131	501	3299
132	511	3332
133	519	3359
134	521	3338
135	523	3328
136	525	3308
137	526	3288
138	527	3268
139	529	3254
140	533	3247
141	533	3225
142	534	3204
143	535	3185
144	589	3474
145	593	3471
146	599	3479
147	608	3502
148	610	3486
149	614	3484
150	645	3630
151	649	3624
152	651	3607
153	653	3589
154	655	3574
155	658	3564
156	665	3573
157	712	3797
158	713	3775
159	715	3754
160	715	3729
161	717	3711
162	724	3719
163	726	3704
164	728	3684
165	729	3663
166	730	3644
167	733	3631
168	736	3621
169	740	3613
170	741	3594
171	742	3575
172	744	3557
173	757	3593
174	760	3585
175	761	3566
176	773	3595
177	774	3577
178	779	3576
179	782	3562
180	784	3549
181	786	3533
182	793	3540
183	794	3523
184	795	3506
185	797	3492
186	800	3478
187	801	3461
188	809	3475
189	813	3466
190	814	3449
191	815	3432
192	816	3416
193	818	3398
194	819	3381
195	822	3372
196	825	3363
197	826	3348
198	827	3331
199	828	3313
200	829	3295
201	829	3278
202	830	3261
203	831	3243
204	832	3227
205	833	3210
206	835	3201
207	839	3194
208	840	3180
209	841	3164
210	842	3148
211	842	3132
212	843	3117
213	844	3101
214	845	3085
215	845	3070
216	846	3055
217	847	3040
218	848	3025
219	849	3013
220	853	3008
221	855	2996
222	855	2982
223	856	2967
224	857	2953
225	858	2939
226	859	2925
227	859	2911
228	860	2897
229	861	2883
230	862	2870
231	862	2856
232	865	2847
233	870	2848
234	871	2835
235	871	2822
236	872	2808
237	873	2795
238	873	2782
239	874	2769
240	875	2756
241	876	2744
242	877	2732
243	878	2720
244	878	2708
245	880	2699
246	883	2694
247	884	2682
248	885	2670
249	886	2658
250	886	2646
251	887	2634
252	888	2622
253	888	2610
254	889	2599
255	890	2588
256	891	2577
257	892	2566
258	893	2555
259	895	2548
260	899	2547
261	900	2537
262	901	2527
263	902	2517
264	904	2507
265	905	2497
266	906	2487
267	906	2477
268	908	2467
269	912	2468
270	914	2458
271	915	2449
272	916	2439
273	917	2429
274	918	2420
275	919	2411
276	920	2402
277	921	2392
278	921	2382
279	925	2380
280	927	2372
281	927	2362
282	928	2352
283	929	2342
284	930	2333
285	930	2323
286	931	2314
287	932	2305
288	933	2295
289	933	2286
290	934	2277
291	935	2268
292	936	2259
293	940	2258
294	941	2249
295	942	2240
296	942	2231
297	943	2223
298	944	2214
299	945	2205
300	946	2197
301	946	2188
302	947	2179
303	948	2171
304	949	2162
305	949	2154
306	950	2145
307	955	2147
308	956	2139
309	957	2131
310	958	2122
311	959	2114
312	959	2106
313	960	2098
314	961	2090
315	962	2082
316	962	2074
317	963	2066
318	964	2058
319	965	2051
320	966	2045
321	968	2039
322	970	2034
323	971	2026
324	972	2018
325	972	2011
326	973	2004
327	974	1997
328	975	1989
329	976	1982
330	977	1974
331	977	1967
332	978	1960
333	979	1953
334	980	1946
335	982	1940
336	985	1938
337	985	1931
338	987	1924
339	987	1917
340	988	1910
341	989	1903
342	990	1896
343	992	1892
344	994	1887
345	1001	1893
346	1003	1888
347	1004	1882
348	1006	1876
349	1007	1871
350	1050	1943
351	1053	1939
352	1054	1933
353	1055	1926
354	1057	1920
355	1058	1914
356	1059	1908
357	1098	1969
358	1099	1963
359	1100	1956
360	1101	1950
361	1102	1943
362	1103	1937
363	1105	1930
364	1106	1924
365	1107	1918
366	1110	1914
367	1114	1913
368	1115	1907
369	1116	1901
370	1117	1894
371	1118	1888
372	1119	1882
373	1120	1876
374	1122	1870
375	1139	1890
376	1140	1884
377	1141	1878
378	1142	1872
379	1155	1884
380	1161	1886
381	1170	1894
382	1172	1888
383	1173	1882
384	1183	1890
385	1186	1887
386	1187	1881
387	1189	1875
388	1193	1874
389	1194	1868
390	1197	1864
391	1199	1860
392	1202	1857
393	1206	1856
394	1213	1858
395	1214	1852
396	1227	1864
397	1234	1867
398	1243	1873
399	1246	1869
400	1248	1864
401	1254	1866
402	1260	1866
403	1262	1862
404	1264	1857
405	1265	1851
406	1274	1856
407	1274	1849
408	1276	1844
409	1277	1838
410	1278	1832
411	1280	1827
412	1289	1832
413	1291	1827
414	1292	1821
415	1293	1815
416	1328	1856
417	1329	1850
418	1335	1851
419	1336	1845
420	1338	1841
421	1339	1835
422	1340	1829
423	1341	1822
424	1342	1816
425	1344	1810
426	1360	1825
427	1366	1826
428	1369	1822
429	1370	1816
430	1371	1810
431	1372	1805
432	1374	1799
433	1375	1793
434	1418	1841
435	1567	2027
436	1609	2073
437	1611	2067
438	1661	2123
439	1663	2116
440	1664	2109
441	1665	2102
442	1667	2096
443	1670	2092
444	1673	2086
445	1675	2081
446	1677	2074
447	1678	2068
448	1680	2062
449	1684	2058
450	1689	2057
451	1691	2050
452	1692	2044
453	1694	2038
454	1696	2032
455	1698	2026
456	1701	2021
457	1705	2018
458	1708	2013
459	1709	2006
460	1710	2000
461	1712	1993
462	1713	1987
463	1716	1982
464	1718	1977
465	1720	1971
466	1721	1965
467	1723	1959
468	1724	1952
469	1725	1945
470	1726	1938
471	1726	1931
472	1727	1924
473	1728	1918
474	1729	1911
475	1732	1906
476	1735	1902
477	1736	1896
478	1737	1889
479	1739	1884
480	1740	1877
481	1741	1871
482	1741	1864
483	1742	1857
484	1743	1851
485	1744	1844
486	1746	1839
487	1748	1834
488	1749	1828
489	1750	1821
490	1750	1815
491	1751	1808
492	1752	1802
493	1753	1795
494	1753	1789
495	1754	1783
496	1755	1776
497	1756	1770
498	1757	1764
499	1757	1757
500	1758	1751
501	1760	1746
502	1761	1740
503	1762	1734
504	1763	1728
505	1763	1722
506	1764	1715
507	1765	1709
508	1766	1703
509	1766	1697
510	1767	1691
511	1768	1685
512	1769	1679
513	1769	1673
514	1770	1667
515	1771	1661
516	1772	1655
517	1775	1652
518	1776	1646
519	1777	1641
520	1778	1635
521	1779	1629
522	1780	1623
523	1780	1617
524	1781	1611
525	1782	1606
526	1783	1600
527	1783	1594
528	1784	1588
529	1785	1583
530	1786	1577
531	1787	1572
532	1789	1568
533	1790	1562
534	1791	1557
535	1792	1551
536	1792	1545
537	1793	1540
538	1794	1534
539	1795	1529
540	1795	1523
541	1796	1518
542	1797	1512
543	1798	1507
544	1798	1501
545	1799	1496
546	1800	1490
547	1801	1485
548	1801	1480
549	1802	1475
550	1803	1469
551	1805	1465
552	1806	1459
553	1806	1454
554	1807	1449
555	1808	1444
556	1809	1438
557	1809	1433
558	1810	1428
559	1811	1423
560	1811	1417
561	1812	1412
562	1813	1407
563	1814	1402
564	1815	1397
565	1816	1392
566	1817	1388
567	1818	1383
568	1820	1378
569	1821	1373
570	1821	1368
571	1822	1363
572	1823	1358
573	1824	1353
574	1824	1348
575	1825	1343
576	1826	1338
577	1827	1333
